epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7934,1.44083,2.05145,1.15868,1,0.79902,0.89946,0.74483,1.30038,1.15233,1.08997,0.00332,0.00332,0.00332
2,159.688,1.31135,1.29591,1.08831,1,0.87213,0.93586,0.76643,1.26283,1.08049,1.07306,0.00663138,0.00663138,0.00663138
3,230.441,1.34792,1.25058,1.10006,1,0.85903,0.9294,0.76246,1.26703,1.04794,1.06468,0.00992075,0.00992075,0.00992075
4,302.727,1.32863,1.15921,1.0934,1,0.90062,0.95015,0.77562,1.24399,1.01481,1.06959,0.009901,0.009901,0.009901
5,373.917,1.26206,1.04264,1.07315,1,0.91667,0.95804,0.78713,1.17358,0.90297,1.04766,0.009868,0.009868,0.009868
6,445.291,1.24303,0.98069,1.06298,1,0.89521,0.94743,0.78346,1.15601,0.87318,1.03071,0.009835,0.009835,0.009835
7,522.574,1.21251,0.93166,1.05375,0.8359,0.89834,0.88092,0.70732,1.14462,0.85795,1.01628,0.009802,0.009802,0.009802
8,598.329,1.18851,0.89123,1.04363,0.83547,0.92013,0.89513,0.72453,1.12514,0.81269,1.02402,0.009769,0.009769,0.009769
9,670.274,1.16454,0.85858,1.03373,0.83548,0.9232,0.88438,0.71774,1.08317,0.76249,1.01078,0.009736,0.009736,0.009736
10,741.823,1.14671,0.83158,1.02546,1,0.9132,0.95635,0.79802,1.0961,0.76621,1.01107,0.009703,0.009703,0.009703
11,814.528,1.13522,0.81766,1.0201,0.83581,0.93861,0.93243,0.75062,1.05272,0.74252,0.99114,0.00967,0.00967,0.00967
12,887.712,1.11141,0.78967,1.01266,0.83579,0.91137,0.91214,0.73168,1.05789,0.74407,0.99515,0.009637,0.009637,0.009637
13,959.113,1.10108,0.7807,1.01035,0.87882,0.84669,0.92779,0.75484,1.03381,0.71489,0.99119,0.009604,0.009604,0.009604
14,1031.32,1.10286,0.77338,1.01105,0.88555,0.83402,0.93669,0.75427,1.02466,0.71477,0.98332,0.009571,0.009571,0.009571
15,1104.88,1.09008,0.75792,1.00309,0.84571,0.76916,0.89553,0.71608,1.02047,0.68539,0.97569,0.009538,0.009538,0.009538
16,1177.66,1.0756,0.7456,0.99774,0.93004,0.84064,0.94822,0.77273,1.0129,0.69639,0.98129,0.009505,0.009505,0.009505
17,1250.84,1.06109,0.73208,0.99416,0.89074,0.84757,0.94328,0.77215,0.99042,0.66811,0.97414,0.009472,0.009472,0.009472
18,1325.29,1.05912,0.72587,0.99295,0.84813,0.78672,0.92188,0.73022,0.98864,0.66939,0.96932,0.009439,0.009439,0.009439
19,1400.42,1.04262,0.71504,0.98824,0.8723,0.8004,0.9259,0.73346,0.9776,0.65318,0.97087,0.009406,0.009406,0.009406
20,1472.09,1.03406,0.70341,0.98373,0.84642,0.90154,0.9381,0.76413,0.9702,0.64996,0.96493,0.009373,0.009373,0.009373
21,1544.04,1.02806,0.69785,0.98171,0.8793,0.86589,0.94189,0.77983,0.96127,0.64801,0.96552,0.00934,0.00934,0.00934
22,1616.57,1.01971,0.69,0.98091,0.85067,0.79336,0.92299,0.73532,0.95784,0.6372,0.95731,0.009307,0.009307,0.009307
