epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.2518,1.45934,1.9967,1.11462,0.53329,0.34246,0.3444,0.21504,1.23458,1.07471,1.0032,0.000276924,0.000276924,0.000276924
2,164.955,1.30799,1.25426,1.07314,0.51302,0.42729,0.4346,0.27338,1.17917,0.97217,1.00554,0.000537433,0.000537433,0.000537433
3,243.39,1.28075,1.1402,1.07161,0.67357,0.36488,0.43847,0.27042,1.18751,0.95649,1.01504,0.000780762,0.000780762,0.000780762
4,324.087,1.24668,1.04356,1.05834,0.66392,0.47315,0.5038,0.31679,1.13472,0.87693,1.0046,0.000755687,0.000755687,0.000755687
5,406.157,1.21362,0.97758,1.04798,0.55247,0.4544,0.51292,0.32179,1.09009,0.83364,0.98981,0.000729916,0.000729916,0.000729916
6,488.494,1.18817,0.92819,1.03847,0.60019,0.50798,0.54624,0.34591,1.09494,0.8277,0.99843,0.000704145,0.000704145,0.000704145
7,572.274,1.16634,0.88734,1.02915,0.70986,0.51635,0.61061,0.39552,1.06255,0.74898,0.97933,0.000678374,0.000678374,0.000678374
8,656.346,1.13475,0.85287,1.01558,0.66595,0.51506,0.58816,0.38333,1.0362,0.76048,0.97588,0.000652603,0.000652603,0.000652603
9,741.243,1.13015,0.8436,1.01678,0.7635,0.5769,0.66469,0.42042,1.02998,0.71516,0.96918,0.000626832,0.000626832,0.000626832
10,826.844,1.11325,0.82114,1.01136,0.76702,0.5959,0.67683,0.44274,1.00581,0.69933,0.96267,0.000601062,0.000601062,0.000601062
11,911.016,1.09919,0.80174,1.006,0.75291,0.5916,0.67372,0.43758,0.99648,0.6986,0.95642,0.000575291,0.000575291,0.000575291
12,993.808,1.08351,0.77768,0.99924,0.83616,0.58176,0.68572,0.45083,0.98579,0.6693,0.95706,0.00054952,0.00054952,0.00054952
13,1076.61,1.07908,0.7769,1.00046,0.7539,0.62044,0.70609,0.46032,0.97985,0.66147,0.94958,0.000523749,0.000523749,0.000523749
14,1159.94,1.06171,0.75183,0.99083,0.81252,0.62445,0.71729,0.47498,0.97573,0.6561,0.95075,0.000497978,0.000497978,0.000497978
15,1242.98,1.05289,0.7428,0.98857,0.78786,0.57732,0.70502,0.4741,0.9665,0.64894,0.95082,0.000472207,0.000472207,0.000472207
16,1326.84,1.04213,0.7348,0.98509,0.80592,0.58199,0.71097,0.47824,0.95703,0.64462,0.9488,0.000446436,0.000446436,0.000446436
17,1410.42,1.03801,0.72617,0.98385,0.85653,0.60362,0.72932,0.48932,0.94864,0.62933,0.94371,0.000420665,0.000420665,0.000420665
18,1494.44,1.01917,0.70822,0.97567,0.82995,0.60593,0.73003,0.49137,0.93657,0.61664,0.94219,0.000394894,0.000394894,0.000394894
19,1579.19,1.00893,0.69673,0.97255,0.8357,0.62805,0.75702,0.50291,0.92868,0.59978,0.94046,0.000369123,0.000369123,0.000369123
20,1663.22,1.00135,0.68915,0.97078,0.729,0.6982,0.75658,0.51237,0.92141,0.59892,0.93142,0.000343352,0.000343352,0.000343352
21,1748.03,0.99035,0.68155,0.96797,0.81187,0.65486,0.76042,0.51703,0.9077,0.58512,0.92654,0.000317581,0.000317581,0.000317581
22,1833.53,0.98209,0.66763,0.96216,0.79276,0.67234,0.76285,0.52038,0.89825,0.57938,0.92744,0.00029181,0.00029181,0.00029181
23,1915.58,0.9203,0.59748,0.93503,0.7033,0.70776,0.75492,0.51546,0.91137,0.5829,0.92882,0.000266039,0.000266039,0.000266039
24,1997.69,0.90528,0.5828,0.93082,0.79319,0.6999,0.77341,0.52562,0.89857,0.57017,0.92433,0.000240268,0.000240268,0.000240268
25,2079.39,0.89131,0.57168,0.92498,0.87312,0.63898,0.79012,0.53667,0.89514,0.57519,0.92414,0.000214497,0.000214497,0.000214497
26,2160.74,0.88236,0.56234,0.92344,0.82835,0.68809,0.79348,0.54294,0.87406,0.56132,0.91791,0.000188727,0.000188727,0.000188727
27,2241.91,0.8654,0.55326,0.91856,0.86321,0.69007,0.80547,0.5549,0.86733,0.54923,0.91331,0.000162956,0.000162956,0.000162956
28,2322.55,0.85592,0.54327,0.91563,0.8342,0.72092,0.81215,0.56188,0.86383,0.54288,0.91185,0.000137185,0.000137185,0.000137185
29,2399.83,0.84162,0.53442,0.91067,0.84949,0.73272,0.82159,0.56695,0.85953,0.54199,0.90932,0.000111414,0.000111414,0.000111414
30,2481.29,0.83114,0.52686,0.90732,0.86954,0.72079,0.82899,0.57386,0.8451,0.53322,0.90744,8.56428e-05,8.56428e-05,8.56428e-05
31,2559.27,0.81885,0.51882,0.90523,0.8504,0.73466,0.81992,0.57158,0.83949,0.5269,0.90612,5.98719e-05,5.98719e-05,5.98719e-05
32,2639.29,0.81388,0.51472,0.90043,0.8605,0.72878,0.82818,0.57753,0.83275,0.52109,0.90166,3.41009e-05,3.41009e-05,3.41009e-05
