epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,,,
1,85.8356,2.14606,3.17309,1.20605,1,0.30779,0.65387,0.58565,1.82529,1.75118,1.08238,0.00332317,0.00332317,0.00332317,,,
2,159.936,1.79854,2.00455,1.05201,1,0.47985,0.73987,0.63344,1.54327,1.39402,1.02215,0.00661257,0.00661257,0.00661257,,Max 50,Max 95
3,233.748,1.78096,1.80063,1.0372,0.85714,0.50829,0.68266,0.56405,1.67098,1.64233,1.05736,0.00985797,0.00985797,0.00985797,,0.81798,0.68063
4,305.647,1.72001,1.57866,1.02903,0.71525,0.38456,0.54292,0.43803,2.29661,1.88499,1.21609,0.009802,0.009802,0.009802,,,
5,379.889,1.65046,1.40735,1.01348,0.85714,0.52435,0.69071,0.56635,1.6061,1.31946,1.04431,0.009736,0.009736,0.009736,,,
6,453.61,1.59068,1.31016,0.99921,0.85714,0.58879,0.72291,0.58632,1.45016,1.14203,0.99548,0.00967,0.00967,0.00967,,,
7,527.749,1.54251,1.21837,0.98439,0.85714,0.5202,0.68864,0.5529,2.17294,1.45443,1.23199,0.009604,0.009604,0.009604,,,
8,601.861,1.50647,1.17792,0.97503,0.85714,0.57888,0.71796,0.57994,1.60506,1.31312,1.0265,0.009538,0.009538,0.009538,,,
9,675.589,1.48936,1.13383,0.97278,0.85714,0.65011,0.75357,0.60188,1.43478,0.99158,0.98036,0.009472,0.009472,0.009472,,,
10,750.489,1.44806,1.0879,0.96272,0.85714,0.57737,0.71723,0.57794,1.67277,1.5366,1.06045,0.009406,0.009406,0.009406,,,
11,925.838,1.41461,1.04473,0.95685,0.85714,0.60197,0.72953,0.58632,1.54131,1.12889,1.01431,0.00934,0.00934,0.00934,,,
12,1339.07,1.41337,1.03109,0.95567,0.85714,0.59612,0.72661,0.59067,1.39264,1.21734,0.98709,0.009274,0.009274,0.009274,,,
13,1751.68,1.3814,0.99821,0.9456,0.85714,0.65253,0.75475,0.60516,1.46859,0.9326,0.99213,0.009208,0.009208,0.009208,,,
14,2164.83,1.37672,0.98199,0.94329,0.85714,0.57485,0.71597,0.56356,1.89783,1.33773,1.09448,0.009142,0.009142,0.009142,,,
