epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.116,2.31281,3.85464,1.18294,0.66667,0.49777,0.58215,0.47367,1.85683,1.57321,1.0365,0.000332824,0.000332824,0.000332824
2,336.114,1.80807,1.87757,1.01894,1,0.61076,0.80534,0.67719,1.55178,1.25049,0.98046,0.000659563,0.000659563,0.000659563
3,498.012,1.6941,1.4779,0.99364,0.83637,0.63095,0.71395,0.58488,1.48823,1.21687,0.96052,0.000979701,0.000979701,0.000979701
4,657.192,1.62547,1.31211,0.97659,1,0.71174,0.85575,0.69718,1.44404,1.16116,0.94303,0.0009703,0.0009703,0.0009703
5,816.038,1.55766,1.21828,0.96097,1,0.74789,0.87378,0.70829,1.44704,1.09289,0.94966,0.0009604,0.0009604,0.0009604
6,978.105,1.50634,1.1562,0.95005,1,0.75431,0.87698,0.71524,1.39869,1.03255,0.94337,0.0009505,0.0009505,0.0009505
7,1137.22,1.47558,1.10969,0.94331,1,0.76772,0.88363,0.72391,1.3103,0.96046,0.91984,0.0009406,0.0009406,0.0009406
8,1299.02,1.45255,1.07183,0.93676,1,0.78291,0.89122,0.72894,1.29327,0.94139,0.91616,0.0009307,0.0009307,0.0009307
9,1458.26,1.42191,1.0413,0.93224,1,0.78759,0.89353,0.73442,1.27784,0.91827,0.91432,0.0009208,0.0009208,0.0009208
10,1617.74,1.38098,1.00355,0.92797,1,0.79561,0.89762,0.72953,1.26281,0.90659,0.90994,0.0009109,0.0009109,0.0009109
11,1777.6,1.38162,0.98379,0.92646,1,0.82012,0.90989,0.73644,1.36552,0.91713,0.93974,0.000901,0.000901,0.000901
12,1939.63,1.35765,0.9599,0.91841,1,0.81576,0.90765,0.74432,1.23181,0.88754,0.90216,0.0008911,0.0008911,0.0008911
13,2098.72,1.33944,0.9386,0.91816,1,0.81571,0.90752,0.74745,1.23697,0.86562,0.90551,0.0008812,0.0008812,0.0008812
14,2260.3,1.32592,0.91959,0.91329,1,0.81577,0.90768,0.74612,1.19499,0.81711,0.8979,0.0008713,0.0008713,0.0008713
15,2422.74,1.32527,0.91173,0.91066,1,0.82834,0.91399,0.75337,1.18714,0.81307,0.89326,0.0008614,0.0008614,0.0008614
