epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.714,1.26025,1.24746,1.08422,0.83538,0.92022,0.88202,0.70573,1.10154,0.77683,1.01696,0.00332888,0.00332888,0.00332888
2,279.866,1.16065,0.87149,1.03084,1,0.91664,0.95816,0.80343,1.08481,0.82254,1.01353,0.00660945,0.00660945,0.00660945
3,414.499,1.21052,0.90254,1.0452,0.83546,0.90087,0.88469,0.71692,1.13215,0.79804,1.01849,0.00983721,0.00983721,0.00983721
4,549.181,1.22209,0.89462,1.05332,0.83539,0.92173,0.88497,0.71648,1.09039,0.78842,1.01296,0.0097624,0.0097624,0.0097624
5,684.419,1.17778,0.85221,1.04002,0.83648,0.92461,0.894,0.72586,1.07028,0.77282,1.00208,0.0096832,0.0096832,0.0096832
6,824.018,1.14689,0.81123,1.02626,0.82433,0.73445,0.8889,0.69431,1.05618,0.74396,1.00576,0.009604,0.009604,0.009604
7,961.636,1.12306,0.78491,1.02126,0.85677,0.75931,0.87359,0.68844,1.03229,0.71856,0.989,0.0095248,0.0095248,0.0095248
8,1095.87,1.09097,0.76146,1.00761,0.83716,0.93608,0.92122,0.75923,0.98867,0.67218,0.972,0.0094456,0.0094456,0.0094456
9,1235.01,1.06458,0.72657,0.99482,0.91154,0.75156,0.91712,0.7271,0.97595,0.6384,0.96964,0.0093664,0.0093664,0.0093664
10,1371.24,1.04829,0.70942,0.9914,0.87518,0.79797,0.93106,0.73571,0.95417,0.6274,0.96584,0.0092872,0.0092872,0.0092872
11,1508.15,1.02352,0.68616,0.98058,0.91618,0.8055,0.94714,0.74871,0.94158,0.61554,0.95706,0.009208,0.009208,0.009208
12,1647.63,1.01581,0.68411,0.97931,0.9166,0.84804,0.95524,0.77891,0.95448,0.61455,0.95774,0.0091288,0.0091288,0.0091288
13,1785.3,1.00389,0.66732,0.97371,0.9225,0.77812,0.92967,0.7474,0.93461,0.59126,0.95366,0.0090496,0.0090496,0.0090496
14,1921.24,0.98898,0.65179,0.96968,0.88341,0.82548,0.93638,0.75715,0.92036,0.59348,0.95055,0.0089704,0.0089704,0.0089704
15,2061.07,0.97886,0.64346,0.96345,0.91263,0.81359,0.94304,0.76036,0.91512,0.58933,0.94573,0.0088912,0.0088912,0.0088912
16,2198.53,0.96144,0.62941,0.95904,0.91604,0.83814,0.95086,0.76953,0.8965,0.56579,0.93989,0.008812,0.008812,0.008812
17,2334.29,0.94851,0.6152,0.95343,0.90935,0.78851,0.90959,0.72024,0.8996,0.55307,0.93602,0.0087328,0.0087328,0.0087328
18,2473.8,0.93792,0.60996,0.95035,0.92095,0.86195,0.95656,0.78672,0.88328,0.54689,0.93978,0.0086536,0.0086536,0.0086536
19,2611.69,0.92918,0.60049,0.94665,0.91817,0.82338,0.9514,0.77758,0.87997,0.54697,0.93475,0.0085744,0.0085744,0.0085744
20,2749.06,0.91972,0.59388,0.94609,0.9282,0.84137,0.96048,0.78494,0.8809,0.53679,0.93624,0.0084952,0.0084952,0.0084952
21,2888.92,0.91459,0.58814,0.94151,0.94144,0.85771,0.96028,0.79212,0.85997,0.52589,0.93057,0.008416,0.008416,0.008416
22,3025.73,0.90188,0.58115,0.94074,0.95005,0.84823,0.95622,0.79394,0.8438,0.52468,0.92641,0.0083368,0.0083368,0.0083368
23,3163.93,0.89135,0.56913,0.93549,0.92656,0.86531,0.95948,0.7947,0.84529,0.52023,0.92261,0.0082576,0.0082576,0.0082576
24,3302.1,0.89076,0.56889,0.93152,0.94779,0.85695,0.96715,0.80372,0.83644,0.52353,0.91901,0.0081784,0.0081784,0.0081784
25,3438.44,0.88362,0.56347,0.93266,0.92876,0.85774,0.95731,0.79275,0.82786,0.51023,0.92312,0.0080992,0.0080992,0.0080992
26,3575.34,0.86751,0.55311,0.92579,0.92037,0.8254,0.91811,0.71767,0.81708,0.49749,0.91519,0.00802,0.00802,0.00802
27,3711.47,0.86481,0.54449,0.92405,0.87475,0.84959,0.92614,0.73033,0.81803,0.50296,0.91651,0.0079408,0.0079408,0.0079408
28,3850.73,0.85356,0.54224,0.92262,0.93757,0.8544,0.96178,0.8063,0.8023,0.49544,0.91395,0.0078616,0.0078616,0.0078616
29,3988.74,0.84577,0.53661,0.92227,0.93296,0.84681,0.9569,0.77752,0.80519,0.49243,0.91103,0.0077824,0.0077824,0.0077824
30,4125.84,0.85113,0.53691,0.92061,0.91018,0.87771,0.94299,0.76907,0.79018,0.48913,0.90468,0.0077032,0.0077032,0.0077032
31,4261.63,0.83485,0.52551,0.91573,0.89857,0.85293,0.92998,0.73605,0.79288,0.47341,0.90366,0.007624,0.007624,0.007624
32,4399.42,0.83707,0.52586,0.91475,0.91667,0.87357,0.96166,0.79485,0.78349,0.46726,0.90544,0.0075448,0.0075448,0.0075448
33,4535.48,0.8303,0.51987,0.91349,0.93754,0.85016,0.94277,0.74482,0.78334,0.46732,0.90845,0.0074656,0.0074656,0.0074656
