epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.327,1.70475,3.15898,0.00523,1,0.75269,0.87623,0.75288,1.43176,1.54749,0.0082,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222
2,230.379,1.5767,2.02153,0.00471,1,0.89356,0.94665,0.79418,1.3954,1.30008,0.00795,0.0199008,0.00663359,0.0199008,0.00663359,0.0199008,0.00663359,0.0199008,0.00663359
3,327.654,1.58236,1.58825,0.0047,0.83708,0.88485,0.85892,0.69764,1.47801,1.19693,0.00851,0.0297689,0.00992296,0.0297689,0.00992296,0.0297689,0.00992296,0.0297689,0.00992296
4,423.606,1.5703,1.3659,0.00463,1,0.90779,0.9537,0.79808,1.3991,1.11915,0.00799,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,518.873,1.52711,1.23905,0.00457,0.78473,0.69032,0.82309,0.6528,1.34717,1.0447,0.00785,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,614.014,1.50912,1.17415,0.00445,0.80959,0.72883,0.85265,0.67329,1.32301,0.9844,0.00763,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,713.885,1.4798,1.11741,0.00435,0.83635,0.91396,0.89527,0.74184,1.3046,1.00626,0.00755,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,810.12,1.4605,1.08209,0.0043,0.83758,0.71448,0.89239,0.71019,1.27935,0.95159,0.00728,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,907.238,1.45093,1.04488,0.00421,0.8312,0.7676,0.89568,0.69577,1.28837,0.91571,0.00734,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1004.17,1.41759,1.00937,0.00416,0.8559,0.74407,0.89075,0.70999,1.27015,0.84911,0.00729,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1104.97,1.41127,0.98968,0.00411,0.83878,0.77032,0.9102,0.72924,1.22094,0.85927,0.00694,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1201.88,1.40061,0.97203,0.00404,0.85496,0.77182,0.88986,0.71194,1.25113,0.82957,0.00713,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1297.85,1.38231,0.95054,0.00397,0.85939,0.79372,0.91461,0.72267,1.23221,0.80756,0.00705,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1400.67,1.38098,0.93727,0.00396,0.83804,0.79465,0.90346,0.72143,1.24335,0.81424,0.00704,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1497.93,1.35958,0.91949,0.00391,0.84894,0.79071,0.91439,0.73303,1.23313,0.79601,0.0069,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1593.58,1.35149,0.89821,0.00388,0.88339,0.79459,0.913,0.73462,1.22151,0.77543,0.00687,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1691.01,1.33591,0.8787,0.00384,0.87764,0.80589,0.92655,0.74146,1.16151,0.75633,0.00646,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1793.52,1.33582,0.87776,0.00382,0.86567,0.8,0.91525,0.74181,1.187,0.76247,0.00657,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
