epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,112.6,1.52502,3.83288,0.02284,0.08479,0.36079,0.27388,0.30363,0.26177,1.35781,1.68668,0.02758,0.07058,0.00996183,0.00332061,0.00996183,0.00332061,0.00996183,0.00332061,0.00996183,0.00332061
2,202.377,1.07667,1.79053,0.02256,0.04944,0.67265,0.67381,0.64028,0.54055,1.11909,1.48557,0.02768,0.05706,0.019896,0.00663199,0.019896,0.00663199,0.019896,0.00663199,0.019896,0.00663199
3,291.613,0.99551,1.24638,0.02244,0.04614,0.67822,0.72452,0.69433,0.58269,1.08381,1.21939,0.02779,0.05626,0.0297641,0.00992136,0.0297641,0.00992136,0.0297641,0.00992136,0.0297641,0.00992136
4,378.048,0.96534,1.03372,0.02223,0.04237,0.70855,0.69046,0.73046,0.61984,0.98788,1.11692,0.0281,0.04934,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,466.851,0.92109,0.91004,0.02229,0.03898,0.62192,0.63642,0.65046,0.51793,1.22387,1.14953,0.02764,0.04681,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,554.53,0.90001,0.85711,0.02196,0.03721,0.69405,0.84952,0.74424,0.62827,0.91937,0.86314,0.02747,0.04061,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,642.921,0.87375,0.79194,0.02219,0.03564,0.68703,0.64043,0.68826,0.5663,0.95258,0.81416,0.02766,0.03913,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,730.357,0.86186,0.75607,0.02236,0.03584,0.6392,0.62061,0.63843,0.48226,1.0719,0.99458,0.02909,0.04206,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,818.941,0.84419,0.74314,0.0226,0.03398,0.54443,0.60208,0.58158,0.40536,1.15961,0.90647,0.0277,0.04196,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,906.274,0.83208,0.70258,0.02212,0.03325,0.68271,0.60278,0.70019,0.55981,0.90094,0.71276,0.02722,0.03691,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,994.229,0.81339,0.67137,0.02244,0.03198,0.64887,0.6778,0.71341,0.5292,0.85771,0.64283,0.02808,0.03656,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1081.85,0.7987,0.65534,0.02255,0.03007,0.65316,0.66024,0.69302,0.54246,0.91513,0.68551,0.02736,0.037,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1168,0.8059,0.6492,0.02229,0.03085,0.64493,0.65982,0.68398,0.527,1.05898,0.73907,0.02768,0.0365,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1256.77,0.7939,0.63939,0.02192,0.0312,0.6927,0.68412,0.74211,0.56711,0.9851,0.7375,0.02734,0.03549,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1344.35,0.78715,0.61257,0.02211,0.03048,0.65522,0.68235,0.71766,0.5285,0.92448,0.66364,0.02696,0.03645,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1430.44,0.78418,0.6152,0.02201,0.0308,0.66164,0.6514,0.7158,0.55365,1.00432,0.74613,0.0278,0.03714,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1517.7,0.77378,0.59132,0.02259,0.03053,0.64521,0.6916,0.70406,0.51359,0.96218,0.68817,0.02838,0.0359,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1604.99,0.75375,0.57598,0.02267,0.02877,0.65887,0.67186,0.72662,0.54773,1.03438,0.76807,0.0286,0.03448,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1693.23,0.75818,0.57401,0.02275,0.02836,0.61778,0.64263,0.65886,0.47066,1.01977,0.78631,0.02842,0.03446,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1778.09,0.75374,0.56767,0.02263,0.02998,0.65199,0.7563,0.7773,0.61787,0.94885,0.71422,0.02836,0.03408,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1865.24,0.74786,0.56069,0.02268,0.02823,0.65279,0.69446,0.73298,0.54769,0.87057,0.68491,0.02787,0.03427,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1953.02,0.74816,0.55332,0.02237,0.02795,0.67274,0.76815,0.75422,0.59463,0.8709,0.63276,0.02757,0.03414,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2040.25,0.73125,0.54002,0.02277,0.02668,0.70523,0.7817,0.82925,0.69351,0.75596,0.5245,0.02793,0.03166,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2127.3,0.7322,0.53145,0.02247,0.02739,0.71494,0.70324,0.76358,0.58989,0.93035,0.65062,0.02778,0.0327,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2214.67,0.73235,0.53232,0.02258,0.02721,0.66301,0.63101,0.70509,0.53709,1.13468,0.76902,0.02879,0.03331,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2302.05,0.72869,0.53263,0.0226,0.02768,0.7283,0.69497,0.79341,0.58977,1.03814,0.70745,0.0281,0.0352,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2389.44,0.71729,0.51809,0.02306,0.02556,0.75278,0.74145,0.78295,0.59778,0.87971,0.52854,0.02768,0.03174,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2477.79,0.71676,0.51978,0.02255,0.02798,0.65461,0.74029,0.74246,0.57621,1.0076,0.71451,0.02858,0.03217,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
