epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.0086,1.45071,2.15772,1.11707,0.5288,0.31064,0.33157,0.19864,1.33848,1.14181,1.06936,0.000276924,0.000276924,0.000276924
2,160.58,1.29842,1.37209,1.07588,0.41674,0.40025,0.38383,0.23251,1.24737,1.10354,1.05429,0.000499686,0.000499686,0.000499686
3,236.841,1.24967,1.14948,1.06285,0.531,0.39176,0.42549,0.25921,1.20769,0.98078,1.03702,0.000667471,0.000667471,0.000667471
4,672.544,1.20764,1.02413,1.04695,0.57874,0.43254,0.45507,0.27949,1.17183,0.94079,1.03358,0.000585599,0.000585599,0.000585599
5,792.465,1.16552,0.92658,1.02862,0.54247,0.48382,0.5181,0.32702,1.15901,0.86108,1.01779,0.000503132,0.000503132,0.000503132
6,872.053,1.1207,0.85846,1.01134,0.59082,0.51042,0.55238,0.3516,1.11419,0.82181,1.00887,0.000420665,0.000420665,0.000420665
7,1270.26,1.0793,0.80376,0.99484,0.7387,0.52713,0.60422,0.38697,1.0799,0.78787,0.98266,0.000338198,0.000338198,0.000338198
8,1707.29,1.04545,0.75314,0.98298,0.73759,0.5324,0.63429,0.40685,1.0497,0.74835,0.97917,0.000255731,0.000255731,0.000255731
9,2144.27,1.01373,0.71654,0.96847,0.63306,0.63062,0.65078,0.42268,1.02691,0.7274,0.96675,0.000173264,0.000173264,0.000173264
10,2581.67,0.98413,0.68634,0.96175,0.75964,0.5781,0.6861,0.44603,1.00668,0.70272,0.96227,9.0797e-05,9.0797e-05,9.0797e-05
